tree_idx,node_idx,feature_idx,split_value,left_child,right_child,is_leaf,label
0,0,2,0.19683025777339935,1,2,0,-1
0,1,-1,-1.0,-1,-1,1,1
0,2,4,0.3434286043047905,3,10,0,-1
0,3,4,0.014606066979467869,4,5,0,-1
0,4,-1,-1.0,-1,-1,1,0
0,5,0,0.16524159908294678,6,7,0,-1
0,6,-1,-1.0,-1,-1,1,1
0,7,2,0.7351262867450714,8,9,0,-1
0,8,-1,-1.0,-1,-1,1,1
0,9,-1,-1.0,-1,-1,1,0
0,10,1,0.44630397856235504,11,12,0,-1
0,11,-1,-1.0,-1,-1,1,1
0,12,-1,-1.0,-1,-1,1,0
1,0,3,0.2597571015357971,1,22,0,-1
1,1,0,0.05359843745827675,2,5,0,-1
1,2,4,0.3021137937903404,3,4,0,-1
1,3,-1,-1.0,-1,-1,1,1
1,4,-1,-1.0,-1,-1,1,0
1,5,0,0.14380908757448196,6,9,0,-1
1,6,4,0.287732757627964,7,8,0,-1
1,7,-1,-1.0,-1,-1,1,1
1,8,-1,-1.0,-1,-1,1,0
1,9,0,0.17411386221647263,10,19,0,-1
1,10,3,0.2235342040657997,11,18,0,-1
1,11,3,0.21951941400766373,12,17,0,-1
1,12,2,0.7749032378196716,13,14,0,-1
1,13,-1,-1.0,-1,-1,1,0
1,14,3,0.21044765412807465,15,16,0,-1
1,15,-1,-1.0,-1,-1,1,0
1,16,-1,-1.0,-1,-1,1,1
1,17,-1,-1.0,-1,-1,1,1
1,18,-1,-1.0,-1,-1,1,0
1,19,1,0.7033243477344513,20,21,0,-1
1,20,-1,-1.0,-1,-1,1,0
1,21,-1,-1.0,-1,-1,1,1
1,22,4,0.002531500766053796,23,24,0,-1
1,23,-1,-1.0,-1,-1,1,0
1,24,0,0.4829118549823761,25,28,0,-1
1,25,1,0.469270758330822,26,27,0,-1
1,26,-1,-1.0,-1,-1,1,0
1,27,-1,-1.0,-1,-1,1,1
1,28,4,0.2749217003583908,29,30,0,-1
1,29,-1,-1.0,-1,-1,1,1
1,30,4,0.29927581548690796,31,38,0,-1
1,31,4,0.2902626544237137,32,37,0,-1
1,32,0,0.8045532405376434,33,36,0,-1
1,33,0,0.7221769392490387,34,35,0,-1
1,34,-1,-1.0,-1,-1,1,1
1,35,-1,-1.0,-1,-1,1,0
1,36,-1,-1.0,-1,-1,1,1
1,37,-1,-1.0,-1,-1,1,0
1,38,2,0.02446800284087658,39,44,0,-1
1,39,4,0.371280699968338,40,43,0,-1
1,40,3,0.8571957349777222,41,42,0,-1
1,41,-1,-1.0,-1,-1,1,0
1,42,-1,-1.0,-1,-1,1,1
1,43,-1,-1.0,-1,-1,1,1
1,44,-1,-1.0,-1,-1,1,1
2,0,0,0.5517602264881134,1,14,0,-1
2,1,4,0.3475668281316757,2,11,0,-1
2,2,0,0.5188305377960205,3,8,0,-1
2,3,2,0.918853372335434,4,7,0,-1
2,4,4,0.014606066979467869,5,6,0,-1
2,5,-1,-1.0,-1,-1,1,0
2,6,-1,-1.0,-1,-1,1,1
2,7,-1,-1.0,-1,-1,1,1
2,8,2,0.21979591250419617,9,10,0,-1
2,9,-1,-1.0,-1,-1,1,1
2,10,-1,-1.0,-1,-1,1,0
2,11,0,0.36202283203601837,12,13,0,-1
2,12,-1,-1.0,-1,-1,1,0
2,13,-1,-1.0,-1,-1,1,1
2,14,0,0.6783988773822784,15,18,0,-1
2,15,0,0.6416781842708588,16,17,0,-1
2,16,-1,-1.0,-1,-1,1,1
2,17,-1,-1.0,-1,-1,1,0
2,18,0,0.8534153997898102,19,22,0,-1
2,19,0,0.8458993136882782,20,21,0,-1
2,20,-1,-1.0,-1,-1,1,1
2,21,-1,-1.0,-1,-1,1,0
2,22,-1,-1.0,-1,-1,1,1
3,0,0,0.3476206138730049,1,26,0,-1
3,1,1,0.8788558840751648,2,19,0,-1
3,2,3,0.08232638239860535,3,12,0,-1
3,3,1,0.812890350818634,4,9,0,-1
3,4,1,0.783536970615387,5,6,0,-1
3,5,-1,-1.0,-1,-1,1,1
3,6,4,0.3288895934820175,7,8,0,-1
3,7,-1,-1.0,-1,-1,1,1
3,8,-1,-1.0,-1,-1,1,0
3,9,4,0.27434098720550537,10,11,0,-1
3,10,-1,-1.0,-1,-1,1,1
3,11,-1,-1.0,-1,-1,1,0
3,12,2,0.784754604101181,13,16,0,-1
3,13,4,0.2791292481124401,14,15,0,-1
3,14,-1,-1.0,-1,-1,1,1
3,15,-1,-1.0,-1,-1,1,0
3,16,4,0.3540879264473915,17,18,0,-1
3,17,-1,-1.0,-1,-1,1,1
3,18,-1,-1.0,-1,-1,1,0
3,19,4,0.27960214763879776,20,25,0,-1
3,20,3,0.1055358536541462,21,24,0,-1
3,21,4,0.014606066979467869,22,23,0,-1
3,22,-1,-1.0,-1,-1,1,0
3,23,-1,-1.0,-1,-1,1,1
3,24,-1,-1.0,-1,-1,1,0
3,25,-1,-1.0,-1,-1,1,0
3,26,1,0.19371675699949265,27,38,0,-1
3,27,3,0.8636184930801392,28,37,0,-1
3,28,3,0.8581035137176514,29,36,0,-1
3,29,0,0.701051265001297,30,31,0,-1
3,30,-1,-1.0,-1,-1,1,1
3,31,3,0.8028401732444763,32,35,0,-1
3,32,4,0.6316700726747513,33,34,0,-1
3,33,-1,-1.0,-1,-1,1,0
3,34,-1,-1.0,-1,-1,1,1
3,35,-1,-1.0,-1,-1,1,1
3,36,-1,-1.0,-1,-1,1,0
3,37,-1,-1.0,-1,-1,1,1
3,38,0,0.53453329205513,39,40,0,-1
3,39,-1,-1.0,-1,-1,1,1
3,40,-1,-1.0,-1,-1,1,0
4,0,2,0.26087242364883423,1,6,0,-1
4,1,0,0.7440527975559235,2,5,0,-1
4,2,0,0.7255090475082397,3,4,0,-1
4,3,-1,-1.0,-1,-1,1,1
4,4,-1,-1.0,-1,-1,1,0
4,5,-1,-1.0,-1,-1,1,1
4,6,4,0.3434286043047905,7,18,0,-1
4,7,1,0.49340006709098816,8,9,0,-1
4,8,-1,-1.0,-1,-1,1,0
4,9,4,0.014606066979467869,10,11,0,-1
4,10,-1,-1.0,-1,-1,1,0
4,11,4,0.06639508157968521,12,17,0,-1
4,12,1,0.8949078619480133,13,14,0,-1
4,13,-1,-1.0,-1,-1,1,1
4,14,1,0.9012030065059662,15,16,0,-1
4,15,-1,-1.0,-1,-1,1,0
4,16,-1,-1.0,-1,-1,1,1
4,17,-1,-1.0,-1,-1,1,1
4,18,-1,-1.0,-1,-1,1,0
5,0,4,0.44043204188346863,1,12,0,-1
5,1,4,0.002531500766053796,2,3,0,-1
5,2,-1,-1.0,-1,-1,1,0
5,3,4,0.3395085334777832,4,5,0,-1
5,4,-1,-1.0,-1,-1,1,1
5,5,3,0.8632511496543884,6,11,0,-1
5,6,3,0.4590875878930092,7,8,0,-1
5,7,-1,-1.0,-1,-1,1,0
5,8,0,0.6973775029182434,9,10,0,-1
5,9,-1,-1.0,-1,-1,1,1
5,10,-1,-1.0,-1,-1,1,0
5,11,-1,-1.0,-1,-1,1,1
5,12,1,0.41809896379709244,13,14,0,-1
5,13,-1,-1.0,-1,-1,1,1
5,14,-1,-1.0,-1,-1,1,0
6,0,2,0.2128823846578598,1,6,0,-1
6,1,0,0.7066329419612885,2,5,0,-1
6,2,0,0.68283411860466,3,4,0,-1
6,3,-1,-1.0,-1,-1,1,1
6,4,-1,-1.0,-1,-1,1,0
6,5,-1,-1.0,-1,-1,1,1
6,6,4,0.3445947766304016,7,12,0,-1
6,7,2,0.4957316517829895,8,9,0,-1
6,8,-1,-1.0,-1,-1,1,0
6,9,4,0.014606066979467869,10,11,0,-1
6,10,-1,-1.0,-1,-1,1,0
6,11,-1,-1.0,-1,-1,1,1
6,12,-1,-1.0,-1,-1,1,0
7,0,4,0.4192757308483124,1,16,0,-1
7,1,2,0.9195894002914429,2,15,0,-1
7,2,4,0.002531500766053796,3,4,0,-1
7,3,-1,-1.0,-1,-1,1,0
7,4,4,0.27385900914669037,5,6,0,-1
7,5,-1,-1.0,-1,-1,1,1
7,6,4,0.2780669331550598,7,8,0,-1
7,7,-1,-1.0,-1,-1,1,0
7,8,0,0.748841404914856,9,14,0,-1
7,9,2,0.02446800284087658,10,13,0,-1
7,10,1,0.02345981076359749,11,12,0,-1
7,11,-1,-1.0,-1,-1,1,0
7,12,-1,-1.0,-1,-1,1,1
7,13,-1,-1.0,-1,-1,1,1
7,14,-1,-1.0,-1,-1,1,1
7,15,-1,-1.0,-1,-1,1,1
7,16,2,0.45901986956596375,17,22,0,-1
7,17,4,0.46886928379535675,18,21,0,-1
7,18,0,0.7844262421131134,19,20,0,-1
7,19,-1,-1.0,-1,-1,1,0
7,20,-1,-1.0,-1,-1,1,1
7,21,-1,-1.0,-1,-1,1,1
7,22,-1,-1.0,-1,-1,1,0
8,0,2,0.2224816083908081,1,16,0,-1
8,1,4,0.3031439334154129,2,3,0,-1
8,2,-1,-1.0,-1,-1,1,1
8,3,3,0.8434339463710785,4,11,0,-1
8,4,4,0.3069881647825241,5,6,0,-1
8,5,-1,-1.0,-1,-1,1,0
8,6,4,0.45026758313179016,7,10,0,-1
8,7,1,0.02345981076359749,8,9,0,-1
8,8,-1,-1.0,-1,-1,1,0
8,9,-1,-1.0,-1,-1,1,1
8,10,-1,-1.0,-1,-1,1,1
8,11,4,0.36096568405628204,12,15,0,-1
8,12,4,0.3355259895324707,13,14,0,-1
8,13,-1,-1.0,-1,-1,1,1
8,14,-1,-1.0,-1,-1,1,0
8,15,-1,-1.0,-1,-1,1,1
8,16,1,0.8810611963272095,17,32,0,-1
8,17,2,0.9070349931716919,18,29,0,-1
8,18,0,0.14329752326011658,19,22,0,-1
8,19,4,0.29839207977056503,20,21,0,-1
8,20,-1,-1.0,-1,-1,1,1
8,21,-1,-1.0,-1,-1,1,0
8,22,4,0.22112948819994926,23,26,0,-1
8,23,1,0.3864153176546097,24,25,0,-1
8,24,-1,-1.0,-1,-1,1,0
8,25,-1,-1.0,-1,-1,1,1
8,26,2,0.4800851121544838,27,28,0,-1
8,27,-1,-1.0,-1,-1,1,1
8,28,-1,-1.0,-1,-1,1,0
8,29,4,0.31277311593294144,30,31,0,-1
8,30,-1,-1.0,-1,-1,1,1
8,31,-1,-1.0,-1,-1,1,0
8,32,2,0.9324758052825928,33,44,0,-1
8,33,1,0.9117936193943024,34,41,0,-1
8,34,2,0.9234046041965485,35,40,0,-1
8,35,0,0.05851870961487293,36,39,0,-1
8,36,4,0.29618551582098007,37,38,0,-1
8,37,-1,-1.0,-1,-1,1,1
8,38,-1,-1.0,-1,-1,1,0
8,39,-1,-1.0,-1,-1,1,1
8,40,-1,-1.0,-1,-1,1,1
8,41,4,0.2563054524362087,42,43,0,-1
8,42,-1,-1.0,-1,-1,1,1
8,43,-1,-1.0,-1,-1,1,0
8,44,0,0.03792884014546871,45,48,0,-1
8,45,4,0.27628960460424423,46,47,0,-1
8,46,-1,-1.0,-1,-1,1,1
8,47,-1,-1.0,-1,-1,1,0
8,48,0,0.04411114938557148,49,52,0,-1
8,49,4,0.2826279066503048,50,51,0,-1
8,50,-1,-1.0,-1,-1,1,1
8,51,-1,-1.0,-1,-1,1,0
8,52,-1,-1.0,-1,-1,1,0
9,0,1,0.21060529351234436,1,10,0,-1
9,1,0,0.7276123464107513,2,9,0,-1
9,2,3,0.8706874549388885,3,8,0,-1
9,3,2,0.03878086805343628,4,7,0,-1
9,4,0,0.7168256938457489,5,6,0,-1
9,5,-1,-1.0,-1,-1,1,1
9,6,-1,-1.0,-1,-1,1,0
9,7,-1,-1.0,-1,-1,1,1
9,8,-1,-1.0,-1,-1,1,1
9,9,-1,-1.0,-1,-1,1,1
9,10,1,0.8792056143283844,11,16,0,-1
9,11,4,0.3668641149997711,12,15,0,-1
9,12,3,0.6437369585037231,13,14,0,-1
9,13,-1,-1.0,-1,-1,1,1
9,14,-1,-1.0,-1,-1,1,0
9,15,-1,-1.0,-1,-1,1,0
9,16,1,0.8947420418262482,17,22,0,-1
9,17,3,0.02442409098148346,18,19,0,-1
9,18,-1,-1.0,-1,-1,1,0
9,19,4,0.32825078070163727,20,21,0,-1
9,20,-1,-1.0,-1,-1,1,1
9,21,-1,-1.0,-1,-1,1,0
9,22,4,0.28939783573150635,23,24,0,-1
9,23,-1,-1.0,-1,-1,1,1
9,24,-1,-1.0,-1,-1,1,0
10,0,1,0.43256790190935135,1,10,0,-1
10,1,4,0.002531500766053796,2,3,0,-1
10,2,-1,-1.0,-1,-1,1,0
10,3,4,0.38300517201423645,4,5,0,-1
10,4,-1,-1.0,-1,-1,1,1
10,5,0,0.7299615442752838,6,9,0,-1
10,6,4,0.5058981478214264,7,8,0,-1
10,7,-1,-1.0,-1,-1,1,0
10,8,-1,-1.0,-1,-1,1,1
10,9,-1,-1.0,-1,-1,1,1
10,10,0,0.05945553630590439,11,16,0,-1
10,11,4,0.3331516236066818,12,15,0,-1
10,12,0,0.057523611932992935,13,14,0,-1
10,13,-1,-1.0,-1,-1,1,1
10,14,-1,-1.0,-1,-1,1,0
10,15,-1,-1.0,-1,-1,1,0
10,16,4,0.33501120656728745,17,20,0,-1
10,17,4,0.014606066979467869,18,19,0,-1
10,18,-1,-1.0,-1,-1,1,0
10,19,-1,-1.0,-1,-1,1,1
10,20,-1,-1.0,-1,-1,1,0
11,0,2,0.25862325727939606,1,14,0,-1
11,1,4,0.002531500766053796,2,3,0,-1
11,2,-1,-1.0,-1,-1,1,0
11,3,1,0.037182919681072235,4,13,0,-1
11,4,2,0.02446800284087658,5,12,0,-1
11,5,4,0.3921656906604767,6,7,0,-1
11,6,-1,-1.0,-1,-1,1,1
11,7,0,0.712769627571106,8,11,0,-1
11,8,0,0.7101868093013763,9,10,0,-1
11,9,-1,-1.0,-1,-1,1,1
11,10,-1,-1.0,-1,-1,1,0
11,11,-1,-1.0,-1,-1,1,1
11,12,-1,-1.0,-1,-1,1,1
11,13,-1,-1.0,-1,-1,1,1
11,14,4,0.29780013114213943,15,26,0,-1
11,15,0,0.3435894474387169,16,25,0,-1
11,16,2,0.9404905438423157,17,24,0,-1
11,17,0,0.04012979008257389,18,19,0,-1
11,18,-1,-1.0,-1,-1,1,0
11,19,3,0.11543216183781624,20,21,0,-1
11,20,-1,-1.0,-1,-1,1,1
11,21,0,0.09592106565833092,22,23,0,-1
11,22,-1,-1.0,-1,-1,1,0
11,23,-1,-1.0,-1,-1,1,1
11,24,-1,-1.0,-1,-1,1,1
11,25,-1,-1.0,-1,-1,1,0
11,26,3,0.41591010987758636,27,28,0,-1
11,27,-1,-1.0,-1,-1,1,0
11,28,-1,-1.0,-1,-1,1,1
12,0,4,0.4030953645706177,1,10,0,-1
12,1,4,0.002531500766053796,2,3,0,-1
12,2,-1,-1.0,-1,-1,1,0
12,3,0,0.6383392810821533,4,5,0,-1
12,4,-1,-1.0,-1,-1,1,1
12,5,2,0.03878086805343628,6,9,0,-1
12,6,0,0.7034910917282104,7,8,0,-1
12,7,-1,-1.0,-1,-1,1,0
12,8,-1,-1.0,-1,-1,1,1
12,9,-1,-1.0,-1,-1,1,0
12,10,2,0.5069352239370346,11,12,0,-1
12,11,-1,-1.0,-1,-1,1,1
12,12,-1,-1.0,-1,-1,1,0
13,0,0,0.3223550543189049,1,22,0,-1
13,1,3,0.08532735332846642,2,5,0,-1
13,2,4,0.3319854512810707,3,4,0,-1
13,3,-1,-1.0,-1,-1,1,1
13,4,-1,-1.0,-1,-1,1,0
13,5,2,0.7708339691162109,6,17,0,-1
13,6,2,0.7609807550907135,7,16,0,-1
13,7,1,0.7642108500003815,8,11,0,-1
13,8,1,0.5976822674274445,9,10,0,-1
13,9,-1,-1.0,-1,-1,1,1
13,10,-1,-1.0,-1,-1,1,0
13,11,3,0.23190512508153915,12,13,0,-1
13,12,-1,-1.0,-1,-1,1,1
13,13,4,0.2821641117334366,14,15,0,-1
13,14,-1,-1.0,-1,-1,1,1
13,15,-1,-1.0,-1,-1,1,0
13,16,-1,-1.0,-1,-1,1,0
13,17,1,0.8283564746379852,18,21,0,-1
13,18,4,0.2826279066503048,19,20,0,-1
13,19,-1,-1.0,-1,-1,1,1
13,20,-1,-1.0,-1,-1,1,0
13,21,-1,-1.0,-1,-1,1,1
13,22,4,0.002531500766053796,23,26,0,-1
13,23,1,0.2692660391330719,24,25,0,-1
13,24,-1,-1.0,-1,-1,1,0
13,25,-1,-1.0,-1,-1,1,1
13,26,4,0.2748357951641083,27,36,0,-1
13,27,3,0.8413646817207336,28,35,0,-1
13,28,4,0.2619442492723465,29,34,0,-1
13,29,0,0.6342023015022278,30,31,0,-1
13,30,-1,-1.0,-1,-1,1,1
13,31,1,0.037182919681072235,32,33,0,-1
13,32,-1,-1.0,-1,-1,1,1
13,33,-1,-1.0,-1,-1,1,0
13,34,-1,-1.0,-1,-1,1,0
13,35,-1,-1.0,-1,-1,1,1
13,36,-1,-1.0,-1,-1,1,1
14,0,4,0.38841408491134644,1,12,0,-1
14,1,4,0.002531500766053796,2,3,0,-1
14,2,-1,-1.0,-1,-1,1,0
14,3,3,0.20062385499477386,4,5,0,-1
14,4,-1,-1.0,-1,-1,1,1
14,5,3,0.2037922590970993,6,7,0,-1
14,6,-1,-1.0,-1,-1,1,0
14,7,4,0.3403615951538086,8,9,0,-1
14,8,-1,-1.0,-1,-1,1,1
14,9,4,0.3551216423511505,10,11,0,-1
14,10,-1,-1.0,-1,-1,1,0
14,11,-1,-1.0,-1,-1,1,1
14,12,0,0.48837488889694214,13,14,0,-1
14,13,-1,-1.0,-1,-1,1,0
14,14,3,0.811377614736557,15,20,0,-1
14,15,0,0.6874383389949799,16,17,0,-1
14,16,-1,-1.0,-1,-1,1,1
14,17,3,0.7686266601085663,18,19,0,-1
14,18,-1,-1.0,-1,-1,1,1
14,19,-1,-1.0,-1,-1,1,0
14,20,-1,-1.0,-1,-1,1,1
15,0,4,0.41314296424388885,1,14,0,-1
15,1,3,0.6568060517311096,2,3,0,-1
15,2,-1,-1.0,-1,-1,1,1
15,3,4,0.002531500766053796,4,5,0,-1
15,4,-1,-1.0,-1,-1,1,0
15,5,0,0.7506028115749359,6,13,0,-1
15,6,2,0.03878086805343628,7,12,0,-1
15,7,4,0.2605064958333969,8,9,0,-1
15,8,-1,-1.0,-1,-1,1,1
15,9,0,0.741363137960434,10,11,0,-1
15,10,-1,-1.0,-1,-1,1,1
15,11,-1,-1.0,-1,-1,1,0
15,12,-1,-1.0,-1,-1,1,1
15,13,-1,-1.0,-1,-1,1,1
15,14,0,0.3421343266963959,15,16,0,-1
15,15,-1,-1.0,-1,-1,1,0
15,16,-1,-1.0,-1,-1,1,1
16,0,1,0.20244307816028595,1,2,0,-1
16,1,-1,-1.0,-1,-1,1,1
16,2,4,0.3536224514245987,3,14,0,-1
16,3,4,0.014606066979467869,4,9,0,-1
