tree_idx,node_idx,feature_idx,split_value,left_child,right_child,is_leaf,label
0,0,2,4.022197008132935,1,2,0,-1
0,1,-1,-1.0,-1,-1,1,1
0,2,4,7.521983623504639,3,10,0,-1
0,3,4,5.998413324356079,4,5,0,-1
0,4,-1,-1.0,-1,-1,1,0
0,5,0,15.548558235168457,6,7,0,-1
0,6,-1,-1.0,-1,-1,1,1
0,7,2,15.022196292877197,8,9,0,-1
0,8,-1,-1.0,-1,-1,1,1
0,9,-1,-1.0,-1,-1,1,0
0,10,1,9.512096405029297,11,12,0,-1
0,11,-1,-1.0,-1,-1,1,1
0,12,-1,-1.0,-1,-1,1,0
1,0,3,16.05740213394165,1,22,0,-1
1,1,0,12.112926483154297,2,5,0,-1
1,2,4,7.330554962158203,3,4,0,-1
1,3,-1,-1.0,-1,-1,1,1
1,4,-1,-1.0,-1,-1,1,0
1,5,0,14.889008522033691,6,9,0,-1
1,6,4,7.263921737670898,7,8,0,-1
1,7,-1,-1.0,-1,-1,1,1
1,8,-1,-1.0,-1,-1,1,0
1,9,0,15.821587562561035,10,19,0,-1
1,10,3,15.27734088897705,11,18,0,-1
1,11,3,15.190882205963135,12,17,0,-1
1,12,2,15.835031986236572,13,14,0,-1
1,13,-1,-1.0,-1,-1,1,0
1,14,3,14.995521545410156,15,16,0,-1
1,15,-1,-1.0,-1,-1,1,0
1,16,-1,-1.0,-1,-1,1,1
1,17,-1,-1.0,-1,-1,1,1
1,18,-1,-1.0,-1,-1,1,0
1,19,1,14.989983081817627,20,21,0,-1
1,20,-1,-1.0,-1,-1,1,0
1,21,-1,-1.0,-1,-1,1,1
1,22,4,5.942466974258423,23,24,0,-1
1,23,-1,-1.0,-1,-1,1,0
1,24,0,25.324328422546387,25,28,0,-1
1,25,1,10.001588582992554,26,27,0,-1
1,26,-1,-1.0,-1,-1,1,0
1,27,-1,-1.0,-1,-1,1,1
1,28,4,7.2045629024505615,29,30,0,-1
1,29,-1,-1.0,-1,-1,1,1
1,30,4,7.317405462265015,31,38,0,-1
1,31,4,7.275643825531006,32,37,0,-1
1,32,0,35.22230529785156,33,36,0,-1
1,33,0,32.68731117248535,34,35,0,-1
1,34,-1,-1.0,-1,-1,1,1
1,35,-1,-1.0,-1,-1,1,0
1,36,-1,-1.0,-1,-1,1,1
1,37,-1,-1.0,-1,-1,1,0
1,38,2,0.5,39,44,0,-1
1,39,4,7.651033878326416,40,43,0,-1
1,40,3,28.92326259613037,41,42,0,-1
1,41,-1,-1.0,-1,-1,1,0
1,42,-1,-1.0,-1,-1,1,1
1,43,-1,-1.0,-1,-1,1,1
1,44,-1,-1.0,-1,-1,1,1
2,0,0,27.44302272796631,1,14,0,-1
2,1,4,7.5411577224731445,2,11,0,-1
2,2,0,26.42966651916504,3,8,0,-1
2,3,2,18.776631355285645,4,7,0,-1
2,4,4,5.998413324356079,5,6,0,-1
2,5,-1,-1.0,-1,-1,1,0
2,6,-1,-1.0,-1,-1,1,1
2,7,-1,-1.0,-1,-1,1,1
2,8,2,4.491496801376343,9,10,0,-1
2,9,-1,-1.0,-1,-1,1,1
2,10,-1,-1.0,-1,-1,1,0
2,11,0,21.60417079925537,12,13,0,-1
2,12,-1,-1.0,-1,-1,1,0
2,13,-1,-1.0,-1,-1,1,1
2,14,0,31.34011459350586,15,18,0,-1
2,15,0,30.210097312927246,16,17,0,-1
2,16,-1,-1.0,-1,-1,1,1
2,17,-1,-1.0,-1,-1,1,0
2,18,0,36.725955963134766,19,22,0,-1
2,19,0,36.49466133117676,20,21,0,-1
2,20,-1,-1.0,-1,-1,1,1
2,21,-1,-1.0,-1,-1,1,0
2,22,-1,-1.0,-1,-1,1,1
3,0,0,21.160966873168945,1,26,0,-1
3,1,1,18.73109531402588,2,19,0,-1
3,2,3,12.236425876617432,3,12,0,-1
3,3,1,17.32516860961914,4,9,0,-1
3,4,1,16.69955825805664,5,6,0,-1
3,5,-1,-1.0,-1,-1,1,1
3,6,4,7.454618215560913,7,8,0,-1
3,7,-1,-1.0,-1,-1,1,1
3,8,-1,-1.0,-1,-1,1,0
3,9,4,7.201872110366821,10,11,0,-1
3,10,-1,-1.0,-1,-1,1,1
3,11,-1,-1.0,-1,-1,1,0
3,12,2,16.036343097686768,13,16,0,-1
3,13,4,7.224058151245117,14,15,0,-1
3,14,-1,-1.0,-1,-1,1,1
3,15,-1,-1.0,-1,-1,1,0
3,16,4,7.5713725090026855,17,18,0,-1
3,17,-1,-1.0,-1,-1,1,1
3,18,-1,-1.0,-1,-1,1,0
3,19,4,7.22624945640564,20,25,0,-1
3,20,3,12.736242294311523,21,24,0,-1
3,21,4,5.998413324356079,22,23,0,-1
3,22,-1,-1.0,-1,-1,1,0
3,23,-1,-1.0,-1,-1,1,1
3,24,-1,-1.0,-1,-1,1,0
3,25,-1,-1.0,-1,-1,1,0
3,26,1,4.1286940574646,27,38,0,-1
3,27,3,29.061577796936035,28,37,0,-1
3,28,3,28.942811965942383,29,36,0,-1
3,29,0,32.037203788757324,30,31,0,-1
